datasetX,datasetY,correlation,pValue,n
FP.CPI.TOTL.ZG,DMGSRMRCHSACD,-0.117405587319472,0.109570566373078,86
FP.CPI.TOTL.ZG,DMGSRMRCHSAKD,-0.172590369274857,0.0217566457388842,82
FP.CPI.TOTL.ZG,DMGSRMRCHSAXD,0.0774211331220235,0.208012287627602,121
FP.CPI.TOTL.ZG,DPANUSLCU,0.302173381898429,1.34090445413904e-08,163
FP.CPI.TOTL.ZG,DPANUSSPB,0.305276553128814,9.56482937297665e-09,163
FP.CPI.TOTL.ZG,DPANUSSPF,0.241346087655942,6.73682968210798e-06,159
FP.CPI.TOTL.ZG,DSTKMKTXD,-0.0792566304537764,0.366876226931588,61
FP.CPI.TOTL.ZG,DSTKMKTXN,0.209302325581395,0.048694390628474,43
FP.CPI.TOTL.ZG,DT.AMT.BLAT.CD,0.154192839478512,0.0159999554590873,112
FP.CPI.TOTL.ZG,DT.AMT.DLXF.CD,0.103937739833,0.0997435743827308,115
FP.CPI.TOTL.ZG,DT.AMT.DPNG.CD,-0.0507553127457792,0.531671889318996,71
FP.CPI.TOTL.ZG,DT.AMT.MLAT.CD,0.0969169820762919,0.124806459859254,115
FP.CPI.TOTL.ZG,DT.AMT.OFFT.CD,0.13049451917359,0.0387636591988301,115
FP.CPI.TOTL.ZG,DT.AMT.PBND.CD,0.175470079270601,0.146059296770705,34
FP.CPI.TOTL.ZG,DT.AMT.PCBK.CD,0.199703648752671,0.0118870302262,74
FP.CPI.TOTL.ZG,DT.AMT.PROP.CD,0.0972696599806338,0.237605440527803,69
FP.CPI.TOTL.ZG,DT.AMT.PRVT.CD,0.163077866981039,0.028211566753102,84
FP.CPI.TOTL.ZG,DT.DIS.BLAT.CD,0.184078794766927,0.00438323268408136,110
FP.CPI.TOTL.ZG,DT.DIS.DLXF.CD,0.160764229942553,0.0112565706712424,114
FP.CPI.TOTL.ZG,DT.DIS.MLAT.CD,0.115886058898256,0.0702246041906747,112
FP.CPI.TOTL.ZG,DT.DIS.OFFT.CD,0.165424062694511,0.00910466286683476,114
FP.CPI.TOTL.ZG,DT.DIS.PCBK.CD,0.0896976381088917,0.299263670654207,63
FP.CPI.TOTL.ZG,DT.DIS.PROP.CD,-0.0195828171626184,0.842827314667046,49
FP.CPI.TOTL.ZG,DT.DIS.PRVT.CD,0.165529070493359,0.0444565655149181,69
FP.CPI.TOTL.ZG,DT.INT.BLAT.CD,0.159521607875364,0.0119018869411809,114
FP.CPI.TOTL.ZG,DT.INT.DLXF.CD,0.104548240507496,0.097769062004647,115
FP.CPI.TOTL.ZG,DT.INT.DPNG.CD,-0.034660080462446,0.664726221669992,73
FP.CPI.TOTL.ZG,DT.INT.MLAT.CD,0.106379742530985,0.0920323969905676,115
FP.CPI.TOTL.ZG,DT.INT.OFFT.CD,0.132020770859831,0.0365407274735339,115
FP.CPI.TOTL.ZG,DT.INT.PBND.CD,0.0748526240313471,0.386481817672603,63
FP.CPI.TOTL.ZG,DT.INT.PCBK.CD,0.167827772731916,0.027661981474679,80
FP.CPI.TOTL.ZG,DT.INT.PROP.CD,0.0841276708365964,0.303388740099907,70
FP.CPI.TOTL.ZG,DT.INT.PRVT.CD,0.0906647359982002,0.203398501039445,91
FP.CPI.TOTL.ZG,DXGSRMRCHSACD,-0.0443652217059747,0.51100893758719,101
FP.CPI.TOTL.ZG,DXGSRMRCHSAKD,-0.155835244354718,0.0261246234507835,94
FP.CPI.TOTL.ZG,DXGSRMRCHSAXD,-0.00267242266803815,0.96264072491796,140
FP.CPI.TOTL.ZG,EMBI,0.0662993544131796,0.742183910290894,14
FP.CPI.TOTL.ZG,EN.BIR.THRD.NO,0.305364331219402,1.6105089928331e-08,160
FP.CPI.TOTL.ZG,EN.FSH.THRD.NO,0.0890865527187266,0.0968212652673761,160
FP.CPI.TOTL.ZG,EN.HPT.THRD.NO,0.143668478581135,0.00776900553997972,160
FP.CPI.TOTL.ZG,EN.MAM.THRD.NO,0.253851630240937,2.84940209338558e-06,160
FP.CPI.TOTL.ZG,EN.URB.LCTY,0.032486930545183,0.625039699345319,104
FP.CPI.TOTL.ZG,EN.URB.LCTY.UR.ZS,0.0526625310529123,0.372722945030735,131
FP.CPI.TOTL.ZG,EN.URB.MCTY,0.0910652920962199,0.186347964976776,97
FP.CPI.TOTL.ZG,EN.URB.MCTY.TL.ZS,-0.107919343174977,0.0820842016647799,119
FP.CPI.TOTL.ZG,FB.AST.NPER.ZS,-0.0133387115752032,0.834854272982085,113
FP.CPI.TOTL.ZG,FB.BNK.CAPA.ZS,0.223073800624135,0.000657013455023669,108
FP.CPI.TOTL.ZG,FP.CPI.TOTL,0.617080745341615,0,161
FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,1,0,192
FP.CPI.TOTL.ZG,IC.BUS.DISC.XQ,-0.0984700054170979,0.0519295376624457,190
FP.CPI.TOTL.ZG,IC.BUS.EASE.XQ,0.280579569967706,9.18255960158376e-09,190
FP.CPI.TOTL.ZG,IC.CRD.INFO.XQ,0.0296870108412059,0.567676007794388,190
FP.CPI.TOTL.ZG,IC.CRD.PRVT.ZS,-0.0853979931323641,0.0970115021639755,190
FP.CPI.TOTL.ZG,IC.CRD.PUBL.ZS,0.0209245862406362,0.68805055044434,190
FP.CPI.TOTL.ZG,IC.ELC.TIME,0.138364708323232,0.004704526833329,190
FP.CPI.TOTL.ZG,IC.EXP.COST.CD,0.184784450745245,0.000156588214775155,190
FP.CPI.TOTL.ZG,IC.EXP.DOCS,0.374516756342153,2.22488694134881e-13,190
FP.CPI.TOTL.ZG,IC.EXP.DURS,0.321244650984485,8.00737254280648e-11,190
FP.CPI.TOTL.ZG,IC.IMP.COST.CD,0.187836384631325,0.00012147351647851,190
FP.CPI.TOTL.ZG,IC.IMP.DOCS,0.391669079477114,1.11022302462516e-14,190
FP.CPI.TOTL.ZG,IC.IMP.DURS,0.369829343139857,6.15063555642337e-14,190
FP.CPI.TOTL.ZG,IC.ISV.DURS,0.145376437238317,0.00446343187365228,179
FP.CPI.TOTL.ZG,IC.LGL.CRED.XQ,-0.217701878534662,1.91782930222016e-05,190
FP.CPI.TOTL.ZG,IC.LGL.DURS,0.0842862879706145,0.0846772330694734,190
FP.CPI.TOTL.ZG,IC.LGL.PROC,0.137577831369237,0.00549264275409467,190
FP.CPI.TOTL.ZG,IC.PRP.DURS,0.124552219788441,0.0111358793061556,189
FP.CPI.TOTL.ZG,IC.PRP.PROC,0.142687600094904,0.0052349282858255,189
FP.CPI.TOTL.ZG,IC.REG.COST.PC.ZS,0.167536444325866,0.000613516756192034,190
FP.CPI.TOTL.ZG,IC.REG.DURS,0.102452289021126,0.0370440041455056,190
FP.CPI.TOTL.ZG,IC.REG.PROC,0.179627671376494,0.000355658934594105,190
FP.CPI.TOTL.ZG,IC.TAX.DURS,0.208441499849488,2.01588782879902e-05,190
FP.CPI.TOTL.ZG,IC.TAX.LABR.CP.ZS,-0.0822601553157405,0.0929877611917584,190
FP.CPI.TOTL.ZG,IC.TAX.OTHR.CP.ZS,0.142734779317845,0.00363667876505303,190
FP.CPI.TOTL.ZG,IC.TAX.PAYM,0.199062196960057,5.24668504171544e-05,190
FP.CPI.TOTL.ZG,IC.TAX.PRFT.CP.ZS,0.0737783995330865,0.131686547063702,190
FP.CPI.TOTL.ZG,IC.TAX.TOTL.CP.ZS,0.0322265900373569,0.509552694284031,190
FP.CPI.TOTL.ZG,IC.WRH.DURS,0.131980295533171,0.00709311390277456,189
FP.CPI.TOTL.ZG,IC.WRH.PROC,0.214401236307644,1.82726172801573e-05,189
FP.CPI.TOTL.ZG,IPTOTSAKD,0.103972417902912,0.149197761885027,89
FP.CPI.TOTL.ZG,IQ.WEF.CUST.XQ,-0.38778946302762,4.51006622897892e-13,162
FP.CPI.TOTL.ZG,IQ.WEF.PORT.XQ,-0.350047989911522,5.61636391884535e-11,162
FP.CPI.TOTL.ZG,IRSPREAD,0.218771150478917,0.050014874108363,39
FP.CPI.TOTL.ZG,IS.SHP.GCNW.XQ,0.0852347233149751,0.160358472587803,124
FP.CPI.TOTL.ZG,IT.NET.SECR,-0.136480381237262,0.00513073706920565,191
FP.CPI.TOTL.ZG,IT.NET.SECR.P6,-0.380117484472369,5.95830917807515e-15,191
FP.CPI.TOTL.ZG,MS.MIL.MPRT.KD,0.105354704037638,0.0849132289831072,123
FP.CPI.TOTL.ZG,MS.MIL.XPRT.KD,-0.126104646867157,0.164712600969519,58
FP.CPI.TOTL.ZG,NEER,-0.315808756182451,1.80958967749092e-06,105
FP.CPI.TOTL.ZG,NYGDPMKTPKDZ,0.231169433988998,0.000194955058903545,119
FP.CPI.TOTL.ZG,PA.NUS.FCRF,0.243263138922436,3.54986283539471e-05,133
FP.CPI.TOTL.ZG,Practice,0.0360094864565566,0.574764238799331,124
FP.CPI.TOTL.ZG,REER,0.114113014490836,0.0845229519146642,105
FP.CPI.TOTL.ZG,SE.COM.DURS,-0.246871255771664,0.0395933324027941,38
FP.CPI.TOTL.ZG,SE.PRM.AGES,0.124690072336939,0.0477125720440934,158
FP.CPI.TOTL.ZG,SE.PRM.DURS,-0.0931105559522071,0.099690596144893,188
FP.CPI.TOTL.ZG,SE.SEC.AGES,-0.0154273820588448,0.799984305116723,158
FP.CPI.TOTL.ZG,SE.SEC.DURS,0.00241327621839326,0.965395948069768,188
FP.CPI.TOTL.ZG,SE.SEC.DURS.LO,0.0556847540702758,0.366697749116832,159
FP.CPI.TOTL.ZG,SE.SEC.DURS.UP,-0.0653828493195012,0.285555138837282,159
FP.CPI.TOTL.ZG,SG.GEN.PARL.ZS,-0.00481101785800382,0.923076368669132,183
FP.CPI.TOTL.ZG,SH.MMR.DTHS,0.293262744554759,4.49991288675733e-09,183
FP.CPI.TOTL.ZG,SH.MMR.RISK,-0.322878180030859,9.58669068029039e-11,183
FP.CPI.TOTL.ZG,SH.MMR.RISK.ZS,0.321908179799048,1.00033759053986e-10,183
FP.CPI.TOTL.ZG,SH.STA.DIAB.ZS,-0.034256398940865,0.48202206525856,191
FP.CPI.TOTL.ZG,SH.STA.MMRT,0.319884578714629,1.58621116241875e-10,183
FP.CPI.TOTL.ZG,SN.ITK.DFCT,0.167802308648097,0.00603304755576684,123
FP.CPI.TOTL.ZG,SP.POP.0305.FE.UN,0.23673711909006,1.31742753628483e-05,154
FP.CPI.TOTL.ZG,SP.POP.0305.MA.UN,0.234530175706646,1.58471693905149e-05,154
FP.CPI.TOTL.ZG,SP.POP.0305.TO.UN,0.235888294711824,1.41469820480467e-05,154
FP.CPI.TOTL.ZG,SP.POP.0406.FE.UN,0.23554876496053,1.45549315471172e-05,154
FP.CPI.TOTL.ZG,SP.POP.0406.MA.UN,0.234699940582294,1.56244572280251e-05,154
FP.CPI.TOTL.ZG,SP.POP.0406.TO.UN,0.234699940582294,1.56244572280251e-05,154
FP.CPI.TOTL.ZG,SP.POP.0509.FE.UN,0.234360410830999,1.60729056974951e-05,154
FP.CPI.TOTL.ZG,SP.POP.0509.MA.UN,0.232323232323232,1.90322364885809e-05,154
FP.CPI.TOTL.ZG,SP.POP.0509.TO.UN,0.234020881079705,1.65336065316435e-05,154
FP.CPI.TOTL.ZG,SP.POP.0510.FE.UN,0.233172056701469,1.7741057082743e-05,154
FP.CPI.TOTL.ZG,SP.POP.0510.MA.UN,0.23249299719888,1.87670444593557e-05,154
FP.CPI.TOTL.ZG,SP.POP.0510.TO.UN,0.233511586452763,1.72483248972455e-05,154
FP.CPI.TOTL.ZG,SP.POP.0511.FE.UN,0.23368135132841,1.70068760039221e-05,154
FP.CPI.TOTL.ZG,SP.POP.0511.MA.UN,0.231569118667045,2.02699276785623e-05,154
FP.CPI.TOTL.ZG,SP.POP.0511.TO.UN,0.23368135132841,1.70068760039221e-05,154
FP.CPI.TOTL.ZG,SP.POP.0609.FE.UN,0.233002291825821,1.79924242909024e-05,154
FP.CPI.TOTL.ZG,SP.POP.0609.MA.UN,0.23249299719888,1.87670444593557e-05,154
FP.CPI.TOTL.ZG,SP.POP.0609.TO.UN,0.233341821577116,1.74930380205662e-05,154
FP.CPI.TOTL.ZG,SP.POP.0610.FE.UN,0.233341821577116,1.74930380205662e-05,154
FP.CPI.TOTL.ZG,SP.POP.0610.MA.UN,0.231474407944996,2.04126138576566e-05,154
FP.CPI.TOTL.ZG,SP.POP.0610.TO.UN,0.233511586452763,1.72483248972455e-05,154
FP.CPI.TOTL.ZG,SP.POP.0611.FE.UN,0.233851116204057,1.67686501248987e-05,154
FP.CPI.TOTL.ZG,SP.POP.0611.MA.UN,0.230965113318055,2.12860544941407e-05,154
FP.CPI.TOTL.ZG,SP.POP.0611.TO.UN,0.232832526950174,1.82471823568786e-05,154
