dataset,time
5.2.10_ETH.BAS.AID.JPN,1.72468209266663
5.2.10_LAO.BAS.AID.WB,1.7863609790802
5.2.10_NER.BAS.AID.UNICEF,1.83158373832703
5.2.10_TLS.TOT.AID.PRIV,1.7278037071228
5.2.11_AFG.BAS.AID.UNESCO,1.79290151596069
5.2.11_ETH.BAS.AID.JICA,1.81842350959778
5.2.11_LAO.BAS.AID.INGOS,1.73616766929626
5.2.11_MWI.BAS.AID.WB,1.78511333465576
5.2.11_TLS.TOT.AID.UNICEF,1.78440880775452
5.2.12_TLS.TOT.AID.USAID,1.73067092895508
5.2.13_ETH.BAS.AID.NLD,1.7789580821991
5.2.14_ETH.BAS.AID.SIDA,1.78173041343689
5.2.15_ETH.BAS.AID.UNICEF,1.74231767654419
5.2.16_ETH.BAS.AID.USAID,1.76476192474365
5.2.17_ETH.BAS.AID.WFP,1.73189520835876
5.2.18_ETH.BAS.AID.WB,1.74737930297852
5.2.1_AFG.BAS.AID.CIDA,1.82591104507446
5.2.1_BFA.BAS.AID.CIDA,1.68548440933228
5.2.1_CAF.BAS.AID.GPE,1.73154091835022
5.2.1_GEO.BAS.AID.EC,1.78287887573242
5.2.1_GHA.BAS.AID.DFID,1.68446826934814
5.2.1_GNB.BAS.AID.ADPP.EU,1.75724267959595
5.2.1_LAO.BAS.AID.ADB,1.77488708496094
5.2.1_MDA.BAS.AID.UNICEF,1.68881630897522
5.2.1_NER.BAS.AID.AFD,1.75126099586487
5.2.1_SEN.BAS.AID.CIDA,1.76144623756409
5.2.1_TJK.BAS.AID.AGAK,1.69627833366394
5.2.1_VNM.BAS.AID.CIDA,1.73901748657227
5.2.2_BFA.BAS.AID.AFD,1.75720763206482
5.2.2_GHA.BAS.AID.GPE,1.72202014923096
5.2.2_GNB.BAS.AID.ADPP.HUM,1.7379949092865
5.2.2_MDA.BAS.AID.WB,1.72818350791931
5.2.2_MDG.BAS.AID.ILO,1.70646381378174
5.2.2_MRT.BAS.AID.AFD,1.73494839668274
5.2.2_NER.BAS.AID.BEL,1.70734572410583
5.2.2_RWA.BAS.AID.GPE,1.70497417449951
5.2.2_SEN.BAS.AID.FR,1.73883676528931
5.2.2_TJK.BAS.AID.OPENS,1.71195197105408
5.2.2_TLS.TOT.AID.AUSAID.WB,1.72176146507263
5.2.2_VNM.BAS.AID.DFID,1.79536056518555
5.2.3_CMR.BAS.AID.FR,1.65869784355164
5.2.3_ETH.BAS.AID.DFID,1.72174453735352
5.2.3_GEO.BAS.AID.USAID,1.77206802368164
5.2.3_GHA.BAS.AID.JICA,1.66769790649414
5.2.3_GNB.BAS.AID.ADPP.OTH,1.71245765686035
5.2.3_KGZ.BAS.AID.ADPP.UNICEF,1.75236701965332
5.2.3_LBR.BAS.AID.WB,1.65169167518616
5.2.3_MRT.BAS.AID.ISDB,1.70832252502441
5.2.3_SEN.BAS.AID.GPE,1.73511624336243
5.2.3_TLS.TOT.AID.AUS,1.65297484397888
5.2.4_GHA.BAS.AID.UNICEF,1.72163343429565
5.2.4_GNB.BAS.AID.EU,1.72205948829651
5.2.4_KGZ.BAS.AID.ADPP.WB,1.65001606941223
5.2.4_MRT.BAS.AID.SP,1.70118594169617
5.2.4_NER.BAS.AID.JAPAN,1.71584367752075
5.2.4_RWA.BAS.AID.USAID,1.64757299423218
5.2.5_BFA.BAS.AID.JICA,1.70169687271118
5.2.5_ETH.BAS.AID.EC,1.71086025238037
5.2.5_GHA.BAS.AID.USAID,1.66630697250366
5.2.5_GNB.BAS.AID.FR,1.69409728050232
5.2.5_LAO.BAS.AID.GPE,1.70473217964172
5.2.5_NER.BAS.AID.KFW,1.6538200378418
5.2.5_SEN.BAS.AID.UNICEF,1.69282078742981
5.2.5_TLS.TOT.AID.JPN,1.70518589019775
5.2.6_BFA.BAS.AID.NLD,1.65933418273926
5.2.6_DJI.BAS.AID.IMOA,1.71034979820251
5.2.6_ETH.BAS.AID.FIN,1.7128164768219
5.2.6_GHA.BAS.AID.WFP,1.66899943351746
5.2.6_GNB.BAS.AID.PORT,1.69057512283325
5.2.6_MDG.BAS.AID.WFP,1.69806122779846
5.2.6_MRT.BAS.AID.UNICEF,1.66771817207336
5.2.6_NER.BAS.AID.WFP,1.69742321968079
5.2.6_SEN.BAS.AID.USAID,1.6871337890625
5.2.6_TJK.BAS.AID.UNICEF,1.66550779342651
5.2.6_TLS.TOT.AID.KOR,1.70326089859009
5.2.7_AFG.BAS.AID.JICA,1.68708634376526
5.2.7_CIV.BAS.AID.UNICEF,1.67775392532349
5.2.7_GHA.BAS.AID.WB,1.73418998718262
5.2.7_GNB.BAS.AID.UNICEF,1.67606234550476
5.2.7_LAO.BAS.AID.UNESCO,1.66989207267761
5.2.7_MRT.BAS.AID.WFP,1.70326590538025
5.2.7_SLE.BAS.AID.WB,1.68784379959106
5.2.7_TLS.TOT.AID.NZL,1.65450620651245
5.2.8_GNB.BAS.AID.JAP,1.68782591819763
5.2.8_KHM.BAS.AID.UNICEF,1.66066575050354
5.2.8_LAO.BAS.AID.UNICEF,1.66010451316833
5.2.8_MWI.BAS.AID.UNICEF,1.69336843490601
5.2.8_NER.BAS.AID.CHE,1.68189978599548
5.2.8_TJK.BAS.AID.WFP,1.66750192642212
5.2.9_LAO.BAS.AID.WFP,1.71228790283203
5.2.9_NER.BAS.AID.LUX,1.72575569152832
5.2.9_TLS.TOT.AID.PRT,1.68029522895813
5.21.01.01.sdds,38.7925405502319
