"datasetX","datasetY","similarity","correlation","pValue","n"
"2.01.01.02.nabase","IS.SHP.GCNW.XQ",0.0363718,0.160992351680642,0.0433913555974166,107
"2.01.01.02.nabase","SE.SEC.DURS.UP",0.0305742,0.156048580200326,0.0470192576606618,145
"2.01.01.02.nabase","SH.MMR.DTHS",0.00259697,0.237281644790799,0.000665228881014075,140
"2.01.01.02.nabase","SH.MMR.RISK",0.00450225,0.155370995327468,0.0257456591088556,140
"2.01.01.02.nabase","SH.MMR.RISK.ZS",0.00450225,0.153965396469435,0.0267401557275777,140
"2.01.01.02.nabase","SH.STA.MMRT",0.00712736,0.160336806571811,0.0215106793512641,140
"2.01.01.02.nabase","SP.POP.0305.FE.UN",0.0013006,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0305.MA.UN",0.000429647,0.223600758673194,0.00146228810962913,137
"2.01.01.02.nabase","SP.POP.0305.TO.UN",0.00109831,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0406.FE.UN",0.0013006,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0406.MA.UN",0.000429647,0.223298186604624,0.00148417827172564,137
"2.01.01.02.nabase","SP.POP.0406.TO.UN",0.00109831,0.223298186604624,0.00148417827172564,137
"2.01.01.02.nabase","SP.POP.0509.FE.UN",0.00114843,0.225113619016044,0.00135723299716087,137
"2.01.01.02.nabase","SP.POP.0509.MA.UN",0.000298434,0.223600758673194,0.00146228810962913,137
"2.01.01.02.nabase","SP.POP.0509.TO.UN",0.000950092,0.225113619016044,0.00135723299716087,137
"2.01.01.02.nabase","SP.POP.0510.FE.UN",0.00157818,0.225113619016044,0.00135723299716087,137
"2.01.01.02.nabase","SP.POP.0510.MA.UN",0.000606639,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0510.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0511.FE.UN",0.00157818,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0511.MA.UN",0.000606639,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0511.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0609.FE.UN",0.00114843,0.225113619016044,0.00135723299716087,137
"2.01.01.02.nabase","SP.POP.0609.MA.UN",0.000298434,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0609.TO.UN",0.000950092,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0610.FE.UN",0.00157818,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0610.MA.UN",0.000606639,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0610.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0611.FE.UN",0.00157818,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0611.MA.UN",0.000606639,0.224811046947474,0.00137766992851464,137
"2.01.01.02.nabase","SP.POP.0611.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0612.FE.UN",0.00157818,0.223600758673194,0.00146228810962913,137
"2.01.01.02.nabase","SP.POP.0612.MA.UN",0.000606639,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0612.TO.UN",0.0013548,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0709.FE.UN",0.00114843,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0709.MA.UN",0.000298434,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0709.TO.UN",0.000950092,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0710.FE.UN",0.00157818,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0710.MA.UN",0.000606639,0.224811046947474,0.00137766992851464,137
