datasetX,datasetY,similarity
2.01.01.02.nabase,5.51.01.06.matern,0.00103312
2.01.01.02.nabase,5.51.01.07.gender,-0.0694235
2.01.01.02.nabase,5.51.01.08.primcomp,0.00436161
2.01.01.02.nabase,5.51.01.09.water,0.0
2.01.01.02.nabase,5.51.01.10.gdp,0.0521213
2.01.01.02.nabase,7.13_CURR.ALLOCATION.DISB,0.0348819
2.01.01.02.nabase,Availability,0.0
2.01.01.02.nabase,BNCABFUNDCD_,0.0312869
2.01.01.02.nabase,CM.MKT.INDX.ZG,0.0
2.01.01.02.nabase,Collection,0.0506833
2.01.01.02.nabase,CPTOTSAXN,0.0618079
2.01.01.02.nabase,CPTOTSAXNZGY,0.0618079
2.01.01.02.nabase,DMGSRMRCHSACD,-0.0262833
2.01.01.02.nabase,DMGSRMRCHSAKD,-0.033457
2.01.01.02.nabase,DMGSRMRCHSAXD,0.0297108
2.01.01.02.nabase,DPANUSLCU,0.00197497
2.01.01.02.nabase,DPANUSSPB,0.0268019
2.01.01.02.nabase,DPANUSSPF,-0.00129352
2.01.01.02.nabase,DSTKMKTXD,-0.00818674
2.01.01.02.nabase,DSTKMKTXN,0.0127931
2.01.01.02.nabase,DT.AMT.BLAT.CD,-0.00198401
2.01.01.02.nabase,DT.AMT.DLXF.CD,0.0123049
2.01.01.02.nabase,DT.AMT.DPNG.CD,-0.00560138
2.01.01.02.nabase,DT.AMT.MLAT.CD,-0.00198401
2.01.01.02.nabase,DT.AMT.OFFT.CD,0.0169334
2.01.01.02.nabase,DT.AMT.PBND.CD,0.00840929
2.01.01.02.nabase,DT.AMT.PCBK.CD,0.0016074
2.01.01.02.nabase,DT.AMT.PROP.CD,-0.00427575
2.01.01.02.nabase,DT.AMT.PRVT.CD,-0.00427575
2.01.01.02.nabase,DT.DIS.BLAT.CD,-0.00198401
2.01.01.02.nabase,DT.DIS.DLXF.CD,0.0191539
2.01.01.02.nabase,DT.DIS.MLAT.CD,-0.00198401
2.01.01.02.nabase,DT.DIS.OFFT.CD,0.0169334
2.01.01.02.nabase,DT.DIS.PCBK.CD,0.0016074
2.01.01.02.nabase,DT.DIS.PROP.CD,-0.00427575
2.01.01.02.nabase,DT.DIS.PRVT.CD,-0.00427575
2.01.01.02.nabase,DT.INT.BLAT.CD,-0.00198401
2.01.01.02.nabase,DT.INT.DLXF.CD,-0.00230743
2.01.01.02.nabase,DT.INT.DPNG.CD,-0.0187289
2.01.01.02.nabase,DT.INT.MLAT.CD,-0.00198401
2.01.01.02.nabase,DT.INT.OFFT.CD,0.0169334
2.01.01.02.nabase,DT.INT.PBND.CD,0.00840929
2.01.01.02.nabase,DT.INT.PCBK.CD,0.0016074
2.01.01.02.nabase,DT.INT.PROP.CD,-0.00427575
2.01.01.02.nabase,DT.INT.PRVT.CD,-0.00427575
2.01.01.02.nabase,DXGSRMRCHSACD,-0.0238878
2.01.01.02.nabase,DXGSRMRCHSAKD,-0.0310168
2.01.01.02.nabase,DXGSRMRCHSAXD,0.0315624
2.01.01.02.nabase,EMBI,0.0134608
2.01.01.02.nabase,EN.BIR.THRD.NO,0.0
2.01.01.02.nabase,EN.FSH.THRD.NO,0.0
2.01.01.02.nabase,EN.HPT.THRD.NO,0.0
2.01.01.02.nabase,EN.MAM.THRD.NO,0.0
2.01.01.02.nabase,EN.URB.LCTY,-0.0055932
2.01.01.02.nabase,EN.URB.LCTY.UR.ZS,-0.0055932
2.01.01.02.nabase,EN.URB.MCTY,-0.0187477
2.01.01.02.nabase,EN.URB.MCTY.TL.ZS,-0.0187477
2.01.01.02.nabase,FB.AST.NPER.ZS,0.0201531
2.01.01.02.nabase,FB.BNK.CAPA.ZS,-0.00160486
2.01.01.02.nabase,FP.CPI.TOTL,0.213525
2.01.01.02.nabase,FP.CPI.TOTL.ZG,0.309417
2.01.01.02.nabase,IC.BUS.DISC.XQ,0.00608564
2.01.01.02.nabase,IC.BUS.EASE.XQ,0.00608564
2.01.01.02.nabase,IC.CRD.INFO.XQ,-0.0495783
2.01.01.02.nabase,IC.CRD.PRVT.ZS,-0.00258148
